,1-gram,2-gram,3-gram
naive bayas,0.9258416742493175,0.9658780709736123,0.9417652411282984
logistic regression,0.9663330300272975,0.9836214740673339,0.9840764331210191
SVM,0.9454049135577798,0.935395814376706,0.9267515923566879
random forest,0.9686078252957234,0.9717925386715196,0.9695177434030937
