,1-gram,2-gram,3-gram
naive bayas,0.9117379435850773,0.9713375796178344,0.948589626933576
logistic regression,0.9535941765241128,0.9827115559599636,0.9845313921747043
SVM,0.9331210191082803,0.9326660600545951,0.9222020018198364
random forest,0.978616924476797,0.9749772520473158,0.9736123748862603
