,1-gram,2-gram,3-gram
naive bayas,0.8023106546854942,0.8170731707317073,0.7400513478818999
logistic regression,0.8324775353016689,0.8273427471116817,0.8125802310654685
SVM,0.7657252888318357,0.709242618741977,0.6944801026957638
random forest,0.7593068035943517,0.7317073170731707,0.7227214377406932
