,1-gram,2-gram,3-gram
naive bayas,0.7933247753530167,0.785622593068036,0.6880616174582799
logistic regression,0.8305519897304237,0.8254172015404364,0.8093709884467266
SVM,0.7875481386392811,0.7169448010269577,0.6957637997432606
random forest,0.7612323491655969,0.7394094993581515,0.733632862644416
