,1-gram,2-gram,3-gram
naive bayas,0.7984595635430037,0.8125802310654685,0.7843388960205392
logistic regression,0.8363286264441593,0.8331193838254172,0.8177150192554558
SVM,0.7708600770218227,0.7310654685494223,0.7021822849807445
random forest,0.7631578947368421,0.7381258023106546,0.727214377406932
