,1-gram,2-gram,3-gram
naive bayas,0.9117379435850773,0.9626933575978162,0.9435850773430391
logistic regression,0.9545040946314831,0.9790718835304822,0.9795268425841674
SVM,0.9335759781619655,0.9262966333030026,0.9103730664240218
random forest,0.9663330300272975,0.9667879890809827,0.9690627843494085
