,1-gram,2-gram,3-gram
naive bayas,0.6274509803921569,0.5555555555555556,0.2875816993464052
logistic regression,0.6797385620915033,0.6143790849673203,0.5947712418300654
SVM,0.5947712418300654,0.5947712418300654,0.5947712418300654
random forest,0.6339869281045751,0.6078431372549019,0.6013071895424836
