,1-gram,2-gram,3-gram
naive bayas,0.7952503209242618,0.8048780487804877,0.7535301668806161
logistic regression,0.8350449293966624,0.831193838254172,0.8048780487804877
SVM,0.8106546854942235,0.7381258023106546,0.7098844672657253
random forest,0.7573812580231065,0.7445442875481386,0.7240051347881901
