,1-gram,2-gram,3-gram
naive bayas,0.9040036396724295,0.9681528662420382,0.9504094631483166
logistic regression,0.9499545040946314,0.9772520473157416,0.978616924476797
SVM,0.921747042766151,0.9126478616924477,0.902638762511374
random forest,0.978616924476797,0.9713375796178344,0.9713375796178344
