,1-gram,2-gram,3-gram
naive bayas,0.6470588235294118,0.5098039215686274,0.27450980392156865
logistic regression,0.673202614379085,0.6143790849673203,0.6013071895424836
SVM,0.5947712418300654,0.5947712418300654,0.5947712418300654
random forest,0.6601307189542484,0.6405228758169934,0.6339869281045751
